Test	Accuracy	Time
nn_uniform_ball_tree_5	92.0	0.0011487007141113281s
nn_uniform_ball_tree_10	93.2	0.0007121562957763672s
nn_uniform_ball_tree_15	92.8	0.0007927417755126953s
nn_uniform_ball_tree_20	93.6	0.0008168220520019531s
nn_uniform_ball_tree_25	93.2	0.0006320476531982422s
nn_uniform_ball_tree_30	92.8	0.000774383544921875s
nn_uniform_ball_tree_35	93.2	0.0009157657623291016s
nn_uniform_ball_tree_40	93.2	0.0007507801055908203s
nn_uniform_ball_tree_45	93.2	0.0007410049438476562s
nn_uniform_kd_tree_5	92.0	0.0009737014770507812s
nn_uniform_kd_tree_10	93.2	0.0008978843688964844s
nn_uniform_kd_tree_15	92.8	0.0008556842803955078s
nn_uniform_kd_tree_20	93.6	0.0008797645568847656s
nn_uniform_kd_tree_25	93.2	0.0003790855407714844s
nn_uniform_kd_tree_30	92.8	0.0008616447448730469s
nn_uniform_kd_tree_35	93.2	0.0008475780487060547s
nn_uniform_kd_tree_40	93.2	0.0007679462432861328s
nn_uniform_kd_tree_45	93.2	0.0007753372192382812s
nn_uniform_brute_5	92.0	0.0005867481231689453s
nn_uniform_brute_10	93.2	0.0005910396575927734s
nn_uniform_brute_15	92.8	0.0006010532379150391s
nn_uniform_brute_20	93.6	0.0006127357482910156s
nn_uniform_brute_25	93.2	0.0005602836608886719s
nn_uniform_brute_30	92.8	0.0005695819854736328s
nn_uniform_brute_35	93.2	0.0012695789337158203s
nn_uniform_brute_40	93.2	0.0007007122039794922s
nn_uniform_brute_45	93.2	0.0005724430084228516s
nn_distance_ball_tree_5	93.2	0.0014374256134033203s
nn_distance_ball_tree_10	94.0	0.0005469322204589844s
nn_distance_ball_tree_15	94.0	0.0013341903686523438s
nn_distance_ball_tree_20	93.6	0.0008039474487304688s
nn_distance_ball_tree_25	93.2	0.0009305477142333984s
nn_distance_ball_tree_30	93.6	0.0007839202880859375s
nn_distance_ball_tree_35	93.6	0.000415802001953125s
nn_distance_ball_tree_40	92.8	0.0008466243743896484s
nn_distance_ball_tree_45	93.2	0.0008547306060791016s
nn_distance_kd_tree_5	93.2	0.001537322998046875s
